Rule_ID,Rule_Name,DQ_Dimension,CDE_Affected,Description,SQL_Logic,Severity,Total_Records,Records_Passed,Records_Failed,Pass_Rate_Pct,Status
DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,HOUSING_STARTS must not be NULL.,SELECT * FROM housing_starts WHERE HOUSING_STARTS IS NULL,High,10235,9207,1028,89.96,FAIL
DQ-002,Housing Starts Non-Negative,Validity,HOUSING_STARTS,HOUSING_STARTS must be >= 0. Negative housing starts are physically impossible.,SELECT * FROM housing_starts WHERE HOUSING_STARTS < 0,Critical,10235,10235,0,100,PASS
DQ-003,Average Price Completeness,Completeness,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD should not be NULL except for suppressed records.,SELECT * FROM housing_starts WHERE AVERAGE_PRICE_CAD IS NULL AND STATUS != 'F',Medium,10235,9208,1027,89.97,FAIL
DQ-004,Average Price Non-Negative,Validity,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD must be > 0. Negative prices are invalid.,SELECT * FROM housing_starts WHERE AVERAGE_PRICE_CAD < 0,Critical,10235,10235,0,100,PASS
DQ-005,Average Price Ceiling,Validity,AVERAGE_PRICE_CAD,"AVERAGE_PRICE_CAD must not exceed $2,000,000 (business ceiling).",SELECT * FROM housing_starts WHERE AVERAGE_PRICE_CAD > 2000000,Medium,10235,9929,306,97.01,WARN
DQ-006,GEO_CODE Referential Integrity,Validity,GEO_CODE,GEO_CODE must be a valid Canadian province/territory code.,"SELECT * FROM housing_starts WHERE GEO_CODE NOT IN ('ON','BC','AB','QC','MB','SK','NS','NB','NL','PE','NT','YT','NU')",High,10235,10235,0,100,PASS
DQ-007,Dwelling Type Domain Validity,Validity,DWELLING_TYPE,DWELLING_TYPE must be one of 5 approved categories.,SELECT * FROM housing_starts WHERE DWELLING_TYPE NOT IN (...approved list...),High,10235,9897,338,96.7,WARN
DQ-008,Intended Market Domain Validity,Validity,INTENDED_MARKET,"INTENDED_MARKET must be one of: Homeowner, Rental, Condominium.","SELECT * FROM housing_starts WHERE INTENDED_MARKET NOT IN ('Homeowner','Rental','Condominium')",High,10235,9898,337,96.71,WARN
DQ-009,Reference Date Format,Validity,REF_DATE,REF_DATE must follow YYYY-MM format.,SELECT * FROM housing_starts WHERE REF_DATE NOT REGEXP '^[0-9]{4}-[0-9]{2}$',Medium,10235,10235,0,100,PASS
DQ-010,Grain Uniqueness,Uniqueness,REF_DATE + GEO_CODE + DWELLING_TYPE + INTENDED_MARKET,Each combination of REF_DATE + GEO_CODE + DWELLING_TYPE + INTENDED_MARKET must be unique.,"SELECT REF_DATE, GEO_CODE, DWELLING_TYPE, INTENDED_MARKET, COUNT(*) FROM housing_starts GROUP BY ... HAVING COUNT(*) > 1",High,10235,10235,0,100,PASS
DQ-011,Reference Date Not Future,Validity,REF_DATE,REF_DATE must not be after the current month.,"SELECT * FROM housing_starts WHERE REF_DATE > TO_CHAR(CURRENT_DATE, 'YYYY-MM')",Medium,10235,10235,0,100,PASS
DQ-012,Status Code Validity,Validity,STATUS,"STATUS must be one of: blank (final), E (estimated), F (suppressed), r (revised).","SELECT * FROM housing_starts WHERE STATUS NOT IN ('', 'E', 'F', 'r')",Low,10235,10235,0,100,PASS
DQ-013,Housing Starts Accuracy - Statistical Range,Accuracy,HOUSING_STARTS,HOUSING_STARTS must fall within a statistically plausible range. Values above 20000 or above mean + 3 std dev per province are flagged as potential outliers requiring steward review.,SELECT * FROM housing_starts WHERE HOUSING_STARTS > 20000 OR HOUSING_STARTS > (SELECT AVG(HOUSING_STARTS) + 3 * STDDEV(HOUSING_STARTS) FROM housing_starts h2 WHERE h2.GEO_CODE = housing_starts.GEO_CODE),High,10235,9827,408,96.01,WARN
DQ-014,Average Price Accuracy - Statistical Range,Accuracy,AVERAGE_PRICE_CAD,"AVERAGE_PRICE_CAD must be between $100,000 and $3,000,000 AND not exceed mean + 3 std dev within the same province. Values outside this range are flagged for steward review.",SELECT * FROM housing_starts WHERE AVERAGE_PRICE_CAD < 100000 OR AVERAGE_PRICE_CAD > 3000000 OR AVERAGE_PRICE_CAD > (SELECT AVG(AVERAGE_PRICE_CAD) + 3 * STDDEV(AVERAGE_PRICE_CAD) FROM housing_starts h2 WHERE h2.GEO_CODE = housing_starts.GEO_CODE AND h2.AVERAGE_PRICE_CAD IS NOT NULL),High,10235,9526,709,93.07,FAIL
DQ-015,GEO and GEO_CODE Consistency,Consistency,GEO + GEO_CODE,GEO (full province name) and GEO_CODE (2-letter code) must always refer to the same province. Any mismatch indicates a data entry or join error.,SELECT * FROM housing_starts WHERE (GEO = 'Ontario' AND GEO_CODE != 'ON') OR (GEO = 'British Columbia' AND GEO_CODE != 'BC') OR (GEO = 'Alberta' AND GEO_CODE != 'AB') OR (GEO = 'Quebec' AND GEO_CODE != 'QC') OR (GEO = 'Manitoba' AND GEO_CODE != 'MB') OR (GEO = 'Saskatchewan' AND GEO_CODE != 'SK') OR (GEO = 'Nova Scotia' AND GEO_CODE != 'NS') OR (GEO = 'New Brunswick' AND GEO_CODE != 'NB') OR (GEO = 'Newfoundland and Labrador' AND GEO_CODE != 'NL') OR (GEO = 'Prince Edward Island' AND GEO_CODE != 'PE'),Critical,10235,10235,0,100,PASS
