Rule_ID,Rule_Name,DQ_Dimension,CDE_Affected,Description,Severity,Total_Records,Records_Passed,Records_Failed,Pass_Rate_Pct,Status,Remediation_Action
DQ-001,Housing Starts Completeness,Completeness,HOUSING_STARTS,HOUSING_STARTS must not be NULL.,High,10235,9207,1028,89.96,FAIL,"Escalate to Data Steward. Attempt back-fill from source permit system. If unavailable, flag STATUS='F'."
DQ-002,Housing Starts Non-Negative,Validity,HOUSING_STARTS,HOUSING_STARTS must be >= 0. Negative values are physically impossible.,Critical,10235,10235,0,100.0,PASS,Root cause: manual data entry error in source permit system. Remediation: take absolute value and flag record for steward review.
DQ-003,Average Price Completeness,Completeness,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD must not be NULL on non-suppressed records.,Medium,10235,9208,1027,89.97,FAIL,Escalate to Data Steward. Re-run price survey aggregation for affected period/geography.
DQ-004,Average Price Non-Negative,Validity,AVERAGE_PRICE_CAD,AVERAGE_PRICE_CAD must be > 0. Negative prices are invalid.,Critical,10235,10235,0,100.0,PASS,Root cause: sign-flip error during CPI adjustment. Remediation: take absolute value and reprocess through price adjustment pipeline.
DQ-005,Average Price Ceiling Check,Validity,AVERAGE_PRICE_CAD,"AVERAGE_PRICE_CAD must not exceed $2,000,000.",Medium,10235,9929,306,97.01,WARN,Escalate to Data Owner for manual review. Likely data entry error or unit mismatch.
DQ-006,GEO_CODE Referential Integrity,Validity,GEO_CODE,GEO_CODE must be a valid Canadian province/territory code.,High,10235,10235,0,100.0,PASS,Lookup correct GEO_CODE from Statistics Canada geographic reference table.
DQ-007,Dwelling Type Domain Validity,Validity,DWELLING_TYPE,DWELLING_TYPE must be one of 5 approved categories.,High,10235,9897,338,96.7,WARN,Map to nearest approved dwelling type using reference lookup table. Escalate if ambiguous.
DQ-008,Intended Market Domain Validity,Validity,INTENDED_MARKET,"INTENDED_MARKET must be one of: Homeowner, Rental, Condominium.",High,10235,9898,337,96.71,WARN,Map to approved value using permit application reference data.
DQ-009,Reference Date Format,Validity,REF_DATE,REF_DATE must follow YYYY-MM format.,Medium,10235,10235,0,100.0,PASS,Reformat to YYYY-MM using date parsing. Reject if year or month is out of valid range.
DQ-010,Grain Uniqueness,Uniqueness,REF_DATE+GEO_CODE+DWELLING_TYPE+INTENDED_MARKET,Each grain combination must be unique.,High,10235,10235,0,100.0,PASS,Identify source of duplicate load. Remove duplicate keeping most recent record. Investigate ETL pipeline.
DQ-011,Reference Date Not Future,Validity,REF_DATE,REF_DATE must not be after the current month.,Medium,10235,10235,0,100.0,PASS,Remove future-dated records. Investigate source system for clock/date errors.
DQ-012,Status Code Validity,Validity,STATUS,"STATUS must be blank, 'E', 'F', or 'r'.",Low,10235,10235,0,100.0,PASS,Map to nearest valid status code. Blank (final) is default.
DQ-013,Housing Starts Accuracy — Statistical Range,Accuracy,HOUSING_STARTS,"HOUSING_STARTS must not exceed 20,000 or mean + 3 std dev for its province. Extreme outliers flagged for steward review.",High,10235,9827,408,96.01,WARN,Escalate to Data Steward. Cross-reference with municipal permit office records to confirm or correct value.
DQ-014,Average Price Accuracy — Statistical Range,Accuracy,AVERAGE_PRICE_CAD,"AVERAGE_PRICE_CAD must be between $100,000 and $3,000,000 and not exceed mean + 3 std dev for its province.",High,10235,9526,709,93.07,FAIL,Escalate to Data Steward. Verify against price survey source data for the affected province and period.
DQ-015,GEO and GEO_CODE Consistency,Consistency,GEO + GEO_CODE,GEO (full province name) and GEO_CODE (2-letter code) must always refer to the same province. Any mismatch indicates a data entry or join error.,Critical,10235,10235,0,100.0,PASS,Correct GEO_CODE using the authoritative GEO-to-GEO_CODE lookup table. Investigate source join logic.
