Knowledge_Area,DAMA_Description,Current_Maturity,Target_Maturity,Current_Label,Evidence,Gap,Improvement_Initiative
Data Governance,"Establishes policies, roles, and standards; ensures accountability and compliance across the enterprise. (Hub of the DAMA wheel.)",3,4,Defined,"stewardship/roles_and_responsibilities.csv; stewardship/issue_escalation_matrix.csv; stewardship/stewardship_assignments.csv",No formal governance policy or charter document,Establish governance policy & AI governance framework
Data Quality,Measures and improves the fitness of data for use across DQ dimensions.,4,5,Managed,"dq_engine.py; dq_rules/dq_rules_catalog.csv; scorecard/*.csv; data/processed/dq_exceptions.csv",No DQ trend monitoring over time or run scheduling/automation,Add DQ trend monitoring & run automation
Metadata,Defines and manages data about data (business and technical metadata).,3,4,Defined,"catalog/data_dictionary.csv; catalog/asset_catalog.csv; catalog/critical_data_elements.csv",Static CSVs rather than an active/live catalog,Move to an active/live metadata catalog
Data Warehousing & BI,"Delivers data for reporting, analytics, and decision support.",3,4,Defined,"app.py (Streamlit dashboard); scorecard/*.csv",No warehouse/serving layer behind the dashboard,Add a warehouse/serving layer behind the dashboard
Data Architecture,Designs and maintains the structures and flows that support business strategy.,2,3,Emerging,"docs/data_lineage_diagram.mermaid; docs/data_lineage_diagram.png; contracts/cmhc_housing_starts.yaml",No formal target-state architecture model,Define a target-state architecture model
Data Modeling & Design,Defines logical and physical data structures.,2,3,Emerging,"contracts/cmhc_housing_starts.yaml; catalog/data_dictionary.csv",No logical or physical data model,Build logical & physical data models
Reference & Master Data,Manages authoritative shared reference and master data.,2,3,Emerging,"dq_engine.py (GEO_MAPPING); catalog/data_dictionary.csv",No formalized reference-data management process,Formalize reference-data management
Data Security,"Ensures privacy, confidentiality, and appropriate access through classification, access control, and masking.",1,4,Initial,catalog/data_dictionary.csv (Sensitivity_Class tags only),"No RBAC, no data masking, no access audit or enforcement","Implement RBAC, data masking & access audit"
Data Integration & Interoperability,Manages the movement and consolidation of data across sources and systems.,1,3,Initial,data/raw/cmhc_housing_starts_2018_2023.csv (single static source),No multi-source ingestion or integration framework,Build multi-source ingestion & integration framework
Data Storage & Operations,"Manages physical storage, access, and the data lifecycle.",1,3,Initial,data/raw and data/processed flat CSV files,"No storage layering, lifecycle, or operations management",Introduce storage layering & lifecycle operations
Document & Content Management,Manages unstructured data and content.,N/A,N/A,Not Applicable,N/A - structured tabular dataset only,Out of scope for this project,N/A - out of scope
