Layer,System_Name,System_Type,Description,Output_Asset,Data_Format,Update_Frequency,Owner,Sensitivity,Notes
1 - Source,Municipal Building Permit Offices,Operational / Administrative,Raw building permit applications submitted by developers and contractors to municipal governments across Canada.,Building Permit Records,Paper / Electronic Forms,Daily,Municipal Government (each jurisdiction),Public,Primary origination point. Permit issuance triggers a 'housing start' classification when construction commences. Illustrative source system modelled on publicly documented housing-starts methodology.
1 - Source,Field Surveyor Network,Survey / Direct Collection,Field agents conduct monthly direct surveys of builders and developers to supplement permit data and capture starts not yet reflected in municipal records.,Monthly Builder Survey Responses,Structured Survey (Electronic),Monthly,Housing Market Analytics Team,Internal,Illustrative source system. Records collected this way are flagged with SURVEY_METHOD = 'Direct Survey'.
1 - Source,Housing Price Survey,Survey / Direct Collection,"Monthly price survey aggregating individual transaction records for housing units started, inflation-adjusted using CPI reference year 2018. Source system for AVERAGE_PRICE_CAD.",Average Unit Price Records,Structured Survey (Electronic),Monthly,Housing Market Analytics Team,Internal,Illustrative source system for AVERAGE_PRICE_CAD. The seeded DQ-004 sign-flip errors are attributed to this pipeline in the illustrative root cause analysis.
2 - Ingestion,Housing Market Data Portal,Data Integration / ETL,"Central ingestion layer that consolidates permit data from municipalities, survey responses from field agents, and administrative data from provincial registries. Applies initial validation and deduplication.",Standardized Housing Starts Staging Table,Relational Database,Monthly (15th of following month),Enterprise Data Management,Internal,Illustrative ingestion layer. Deduplication key: GEO_CODE + REF_DATE + DWELLING_TYPE + INTENDED_MARKET. Records with STATUS='F' suppressed at this layer.
3 - Processing,Enterprise Data Quality Platform (e.g. Informatica IDMC),Data Quality Platform,"Applies enterprise data quality rules across completeness, validity, accuracy, and uniqueness dimensions. Flags records with DQ issues for steward review. Generates DQ scorecard metrics.",DQ-Validated Housing Starts Table,Relational Database,Monthly,Data Quality Team,Internal,Illustrative processing layer representing a commercial DQ engine. Failed records written to a DQ exception table; rule results populate the DQ scorecard.
3 - Processing,Enterprise Governance Catalog (e.g. Collibra),Data Governance Platform,"All data assets, CDEs, data lineage, stewardship assignments, and governance policies are documented and managed in the enterprise catalog. Business glossary terms linked to physical columns.",Data Catalog (Business Glossary + Technical Metadata),Governance Platform (SaaS),Continuous / On change,Data Governance Office,Internal,Illustrative governance layer representing a commercial catalog platform. Stewardship workflows triggered for DQ issues.
3 - Processing,Python DQ Engine (dq_engine.py / app.py),Data Quality Platform,"Open-source implementation of the DQ rule engine built for this project. Executes 15 SQL-equivalent rules across 5 dimensions, applies auto-remediation, and generates scorecard outputs and the Streamlit dashboard.",DQ Scorecards + Exception Log + Remediated Dataset,CSV / Streamlit App,On demand,Ram Krishna Dhakal (project),Public,"The real implemented system in this project. Outputs: dq_exceptions.csv, cmhc_housing_starts_remediated.csv, scorecard CSVs."
4 - Publication,Public Open Data Repository (e.g. Statistics Canada CODR),Public Data Repository,"Approved, quality-validated data published to a public open data platform. Data undergoes final suppression review before release.",cmhc_housing_starts_2018_2023 (Public Dataset),CSV / JSON / SDMX,Monthly,National Statistics Agency,Public,Illustrative publication layer. The real public dataset this project is modelled after is Statistics Canada Table 34-10-0143-01. STATUS field reflects suppression flags.
5 - Consumption,Housing Market Analytics Dashboard,BI / Reporting (Power BI),"Executive dashboards tracking housing supply KPIs, provincial trends, and affordability indicators. Refreshed monthly from published dataset.",Housing Starts KPI Dashboard,Power BI (.pbix),Monthly,Housing Market Analytics Team,Internal,Illustrative consumer for policy reporting. Filters on STATUS != 'F' by default.
5 - Consumption,Federal Housing Policy Reporting,Government Reporting,Feeds housing supply data into federal housing affordability and policy reports.,Annual Federal Housing Supply Report,PDF / Excel,Annually,Policy Research Division,Internal,Illustrative consumer. CDE-level lineage required for audit trail; corrections to source data must be traceable to published reports.
5 - Consumption,Data Science Teams,Analytics / Research,"Internal and external research teams consuming the published dataset via API or CSV extracts for forecasting, affordability modelling, and market research.",Housing Market Models & Research Outputs,API / CSV,On demand,Various (internal & external),Public,Illustrative consumer. Expected to filter on STATUS per data dictionary guidance.
5 - Consumption,Public / Open Data Portal,Open Government,General public access to the published dataset through an open government data portal under the Open Government Licence – Canada.,Open Dataset Downloads,CSV / JSON,Monthly,Open Government Portal Operator,Public,Illustrative distribution channel referenced in the data contract terms (Open Government Licence – Canada).
